COUNTRY,YEAR,total_events,total_fatalities,avg_population_exposure,num_weeks_with_events,num_event_types,num_admin_regions,milex_constant_usd_m,milex_per_capita,milex_share_gdp,milex_current_usd_m,income_classification,country_id,iso_code,current_income_group,lending_category,total_events_lag1,total_events_lag2,total_fatalities_lag1,total_fatalities_lag2,milex_constant_usd_m_lag1,milex_constant_usd_m_lag2,milex_per_capita_lag1,milex_per_capita_lag2,milex_share_gdp_lag1,milex_share_gdp_lag2,total_events_pct_change,total_fatalities_pct_change,milex_constant_usd_m_pct_change,total_events_rolling3,total_fatalities_rolling3,fatalities_escalation,income_level_numeric
Bahrain,2015,12,0,30567.333333333332,1,2,3,1560.1845193547679,1074.5315026793924,0.046441113490364026,1442.0212765957447,H,1,BHR,High income,,,,,,,,,,,,,,,12.0,0.0,0,4.0
Bahrain,2016,3212,5,66364.8782816229,53,6,4,1584.7388743241459,1077.6911771425089,0.04670635313531353,1505.534574468085,H,1,BHR,High income,,12.0,,0.0,,1560.1845193547679,,1074.5315026793924,,0.046441113490364026,,266.6666666666667,inf,0.01573810960483879,1612.0,2.5,1,4.0
Bahrain,2017,3744,17,67362.06698564593,52,6,4,1591.2803014005115,1048.367144977734,0.043207377417903745,1532.7127659574471,H,1,BHR,High income,,3212.0,12.0,5.0,0.0,1584.7388743241459,1560.1845193547679,1077.6911771425089,1074.5315026793924,0.04670635313531353,0.046441113490364026,0.1656288916562889,2.4,0.00412776336994658,2322.6666666666665,7.333333333333333,1,4.0
Bahrain,2018,1602,0,58122.27702702703,52,4,4,1553.599987717629,1017.0836048389384,0.04041086252990011,1527.6595744680856,H,1,BHR,High income,,3744.0,3212.0,17.0,5.0,1591.2803014005115,1584.7388743241459,1048.367144977734,1077.6911771425089,0.043207377417903745,0.04670635313531353,-0.5721153846153846,-1.0,-0.023679243468117783,2852.6666666666665,7.333333333333333,0,4.0
Bahrain,2019,715,1,35209.654867256635,52,4,4,1568.3883329572766,1043.3441165153697,0.040298610155497454,1557.712765957447,H,1,BHR,High income,,1602.0,3744.0,0.0,17.0,1553.599987717629,1591.2803014005115,1017.0836048389384,1048.367144977734,0.04041086252990011,0.043207377417903745,-0.5536828963795256,inf,0.009518759884501016,2020.3333333333333,6.0,1,4.0
Bahrain,2020,299,0,29513.778761061945,38,4,4,1447.9745443974084,950.4649756715517,0.040574686510924836,1404.7872340425533,H,1,BHR,High income,,715.0,1602.0,1.0,0.0,1568.3883329572766,1553.599987717629,1043.3441165153697,1017.0836048389384,0.040298610155497454,0.04041086252990011,-0.5818181818181818,-1.0,-0.0767754936896411,872.0,0.3333333333333333,0,4.0
Bahrain,2021,1171,0,32416.822580645163,51,4,5,1490.7315920611786,966.0618279569892,0.03519796822089086,1437.5,H,1,BHR,High income,,299.0,715.0,0.0,1.0,1447.9745443974084,1568.3883329572766,950.4649756715517,1043.3441165153697,0.040574686510924836,0.040298610155497454,2.9163879598662206,,0.029528866946734844,728.3333333333334,0.3333333333333333,0,4.0
Bahrain,2022,729,0,23197.789115646257,53,4,5,1599.261638973513,1054.8311214100133,0.034233933454876936,1598.06914893617,H,1,BHR,High income,,1171.0,299.0,0.0,0.0,1490.7315920611786,1447.9745443974084,966.0618279569892,950.4649756715517,0.03519796822089086,0.040574686510924836,-0.3774551665243382,,0.07280321118188282,733.0,0.0,0,4.0
Bahrain,2023,823,0,29760.145833333332,52,4,4,1622.3936170212764,1045.3567119982451,0.03520835738196929,1622.3936170212764,H,1,BHR,High income,,729.0,1171.0,0.0,0.0,1599.261638973513,1490.7315920611786,1054.8311214100133,966.0618279569892,0.034233933454876936,0.03519796822089086,0.12894375857338813,,0.01446416113789284,907.6666666666666,0.0,0,4.0
Bahrain,2024,825,0,35346.01244813278,52,4,4,1364.8540760080473,871.51977597942,0.028946654057962953,1383.973404255319,H,1,BHR,High income,,823.0,729.0,0.0,0.0,1622.3936170212764,1599.261638973513,1045.3567119982451,1054.8311214100133,0.03520835738196929,0.034233933454876936,0.002430133657351119,,-0.15874047969078742,792.3333333333334,0.0,0,4.0
